Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Демʼянюк,Соломон,Геннадійович,Чоловіча,07.05.1978,Краєзнавець,хутір Ямпіль,"парк Сєрова, буд. 04, Монастирище, 89190",990-37-34,zakharchenkodemyd@example.net
Дацюк,Стефан,Федорович,Чоловіча,08.05.1950,Географ,хутір Дніпро ,"парк Дальня, буд. 0, Чортків, 53784",+380 51 969-66-25,hunkoivan@example.com
Мірошниченко,Орхип,Симонович,Чоловіча,03.09.1982,Електромонтажник,місто Заставна,"площа Героїв Небесної Сотні, буд. 46 кв. 9, Вознесенськ, 73071",+380 34 334-28-38,zynoviishablii@example.org
Жученко,Миколай,Соломонович,Чоловіча,13.06.1944,Художник,село Чистякове,"сквер Кар’єрна, буд. 05, Генічеськ, 77639",020 205-86-35,mtelizhenko@example.net
Кабалюк,Максим,Остапович,Чоловіча,07.02.1951,Архітектор,село Березівка,"проспект 13-та ст. Великого Фонтану пляж, буд. 122 кв. 66, Чигирин, 83651",+380 51 231 50 33,vakhniiiryna@example.com
Байдак,Устим,Володимирович,Чоловіча,15.09.1941,Пекар,хутір Кипуче,"шосе Пресича Олександра, буд. 923 кв. 27, Острог, 11015",+380 (61) 511-51-30,skybamaryna@example.org
Сич,Августин,Степанович,Чоловіча,14.02.1976,Підприємець,селище Хоростків,"вулиця Студентський 1-й, буд. 90 кв. 449, Коростень, 72100",+380 (97) 741-66-70,zlutsenko@example.org
Гаврилишин,Адам,Тимофійович,Чоловіча,09.10.1953,Математик,хутір Корець,"вулиця Скидановський узвіз, буд. 8, Новоград-Волинський, 52803",+380 66 721-49-88,kkabanenko@example.com
Матвієнко,Аарон,Опанасович,Чоловіча,09.02.1972,Правник,село Миргород,"площа Скляний 3-й, буд. 85 кв. 49, Вознесенськ, 21243",+380 40 875-15-72,hannakhrystych@example.com
Ґереґа,Ярослав,Владиславович,Чоловіча,05.11.1946,Археолог,село Золотоноша,"узвіз Подільська, буд. 10 кв. 26, Соснівка , 57647",019 693 76 16,rostyslav57@example.com
Лаба,Марко,Ааронович,Чоловіча,12.11.2001,Няня,селище Амвросіївка,"провулок Залізнична, буд. 420 кв. 9, Олешки, 89418",021 091 05 37,odarkaperepelytsia@example.com
Гайворонський,Дмитро,Леонтійович,Чоловіча,27.08.1999,Няня,село Горохів,"провулок Житомирська, буд. 49 кв. 5, Світлодарськ, 34972",+380 45 400-64-75,valeriibaidak@example.org
Закусило,Йосип,Вʼячеславович,Чоловіча,10.06.1956,Ґрунтознавець,місто Кам'янка (Черкаська область),"проспект Вапняна, буд. 696, Новоград-Волинський, 04262",+380 82 581-54-48,vasylbabiuk@example.org
Перебийніс,Юстим,Демидович,Чоловіча,19.11.1982,М'ясник,хутір Щастя ,"сквер Романтичний, буд. 218 кв. 3, Червоносів, 46571",+380 13 676-08-96,lukashviktor@example.net
Забарний,Олесь,Леонтійович,Чоловіча,28.05.1995,Агроном,село Прип'ять ,"сквер Литовська, буд. 232 кв. 60, Берестечко, 13043",+380 10 285 51 65,klavdiia71@example.org
Іщак,Хома,Леонідович,Чоловіча,30.01.1993,Хімік,село Сорокине,"узвіз 15-та Суворовська, буд. 570 кв. 73, Узин, 98494",605-33-88,maryna95@example.net
Їжакевич,Азар,Арсенович,Чоловіча,03.04.1961,Ветеринар,село Рені,"проспект Лінія 45-та, буд. 459 кв. 89, Залізне, 49549",+380 (17) 166-85-63,narkhymovych@example.org
Заєць,Семен,Володимирович,Чоловіча,21.04.1949,Сценарист,село Лиман ,"шосе Степний 2-й, буд. 764 кв. 1, Перещепине, 59416",767 18 49,vmalyshko@example.com
Їжакевич,Остап,Зиновійович,Чоловіча,17.12.1956,Різноробочий,хутір Радивилів,"узвіз Рівності, буд. 26, Вараш, 72442",005 076 05 21,milena79@example.net
Ткач,Амвросій,Геннадійович,Чоловіча,30.09.2004,Режисер,село Сколе,"шосе Наклонна, буд. 634 кв. 941, Карлівка, 93679",+380 41 676-07-44,cpoltavets@example.com
Авдєєнко,Азар,Аврелійович,Чоловіча,10.12.1979,Реабілітолог,селище Бердянськ,"провулок Вершинна, буд. 647 кв. 9, Тернопіль, 82332",+380 (09) 913-94-99,eibozhenkoiarema@example.org
Ґжицький,Веніямин,Теодорович,Чоловіча,09.06.1987,Пілот,село Роздільна,"провулок Юхима Фесенка, буд. 32 кв. 7, Пологи , 48709",048-92-56,shevchenkooksana@example.net
Верховинець,Максим,Богодарович,Чоловіча,15.08.1996,Маркетолог,місто Приморськ (Україна),"узвіз Посівна, буд. 9, Карлівка, 79085",066 397-38-34,olha85@example.net
Акуленко,Алевтин,Демидович,Чоловіча,12.09.1956,Дантист,селище Тисмениця,"провулок Станційна 3-тя, буд. 91 кв. 4, Городенка, 95456",097 788 30 89,fedir63@example.com
Конопленко,Михайло,Омелянович,Чоловіча,19.04.1975,Сантехнік,село Костянтинівка,"сквер Степна, буд. 7, Яворів, 60182",645 46 26,aleksandrenkovolodymyra@example.net
Базилевський,Мирослав,Тарасович,Чоловіча,23.08.1957,Промисловець,місто Переяслав,"проспект Кримська, буд. 1 кв. 198, Гайворон, 59215",+380 (43) 025-46-88,iemetsalbina@example.org
Дзюба,Левко,Вікторович,Чоловіча,26.07.1977,Намотувальник,селище Херсон,"вулиця Партизанської Слави, буд. 46 кв. 350, Іршава, 93419",+380 (50) 294-70-93,oksana61@example.org
Єфименко,Іван,Олесьович,Чоловіча,23.08.1942,Кінорежисер,місто Бурштин ,"вулиця Трояндова, буд. 8, Кам'янець-Подільський, 43234",799-47-01,odarka13@example.org
Аврамчук,Василь,Костянтинович,Чоловіча,06.06.1952,Детектив,село Яготин,"провулок Полтавська, буд. 88 кв. 38, Харків, 61754",089 113-16-04,abramenkostepan@example.net
Михайличенко,Едуард,Демидович,Чоловіча,11.01.1982,Водій,місто Берислав,"сквер Мелітопольська, буд. 82, Рогатин, 80031",062 158-28-43,davymukaiaroslava@example.org
Оліфіренко,Пармен,Євгенійович,Чоловіча,27.06.1965,Журналіст,село Кобеляки,"вулиця 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 443, Токмак, 69457",+380 06 433-63-76,mariia10@example.net
Дараган,Єлисей,Романович,Чоловіча,11.09.1973,Агроном,селище Перечин,"вулиця Біляївська, буд. 72 кв. 97, Зіньків, 02220",091 663-37-03,sofiiaturkalo@example.com
Чуприна,Борислав,Стефанович,Чоловіча,22.04.1961,М'ясник,селище Умань,"сквер Депутатський, буд. 2 кв. 9, Брянка, 32276",494 06 23,dubynaleonid@example.org
Єрченко,Максим,Владиславович,Чоловіча,03.06.1987,Дизайнер,село Хуст,"проспект Флотський 4-й, буд. 6 кв. 01, Горлівка, 33018",+380 91 193 43 34,lshapoval@example.com
Єрмоленко,Нестор,Орхипович,Чоловіча,19.04.1948,Фізик,село Гайсин,"парк Парашутний, буд. 0 кв. 480, Балта, 37753",+380 24 446-29-04,arsenaverchenko@example.net
Оліфіренко,Лесь,Дмитрович,Чоловіча,31.05.2002,Модельєр,місто Новоселиця,"вулиця Балтський 5-й, буд. 4, Таврійськ, 51066",067 465-25-21,slutsenko@example.org
Скирда,Станіслав,Валерійович,Чоловіча,06.02.1968,Акушер,селище Сіверськ,"сквер Довга, буд. 5, Чернівці, 52246",048 594 37 49,wzasiadko@example.net
Фаренюк,Володимир,Леонідович,Чоловіча,04.09.1979,Шериф,місто Володимир-Волинський,"вулиця Єлісаветинська, буд. 60, Бахмут, 57698",198-05-73,oliinykdemyd@example.net
Ткаченко,Юхим,Миронович,Чоловіча,13.02.1961,Публіцист,хутір Харцизьк,"площа Єврейська, буд. 613, Лисичанськ, 23536",115-19-82,iarema85@example.org
Ажажа,Стефан,Андрійович,Чоловіча,25.12.1950,Кушнір,хутір Умань,"вулиця Лідерсівський, буд. 5, Лутугине, 95255",+380 63 725 79 30,avhustynpiddubnyi@example.com
Гаврилів,Демид,Азарович,Чоловіча,26.08.1946,Медик,місто Валки ,"парк Шота Руставелі, буд. 381 кв. 230, Олевськ, 24990",067 931-85-02,zaichenkoanastasiia@example.net
Скоробогатько,Миколай,Васильович,Чоловіча,06.08.1947,Дизайнер,село Ковель,"площа Балківська, буд. 8 кв. 02, Чистякове, 39373",+380 (93) 045-68-89,olha91@example.com
Сиротенко,Ярема,Прохорович,Чоловіча,07.12.2005,Історик,селище Покровськ,"провулок Балтський 3-й, буд. 27 кв. 035, Тисмениця, 52838",224-17-62,sskyba@example.org
Асаула,Герман,Августинович,Чоловіча,16.06.1972,Стиліст,місто Підгородне,"вулиця Маршрутна, буд. 3, Суми, 14788",043 196-54-66,radchenkooksana@example.net
Цісик,Остап,Аркадійович,Чоловіча,08.05.1965,Архітектор,село Хотин,"проспект Цебриківська, буд. 724, Мирноград, 40702",032 837 74 98,oryna58@example.net
Дрозд,Юхим,Гордійович,Чоловіча,17.10.1994,Паралегал,село Євпаторія,"вулиця Сінна, буд. 44 кв. 598, Баштанка, 17720",+380 85 453 31 54,panteleimon88@example.net
Шамрай,Михайло,Святославович,Чоловіча,01.02.1994,Електромонтажник,хутір Рогатин,"набережна Генуезька, буд. 68, Барвінкове, 75130",602-68-22,eholoborodko@example.org
Венгринович,Георгій,Давидович,Чоловіча,22.11.1972,Юрист,село Мар'їнка,"проспект Гаршина, буд. 00, Сновськ, 83167",+380 97 557-78-14,iermolenkoielysei@example.org
Данчук,Вʼячеслав,Прохорович,Чоловіча,10.08.1969,Лікар,місто Запоріжжя,"узвіз Авіаторів, буд. 96 кв. 24, Первомайський , 80085",+380 32 186-94-72,flazarenko@example.com
Пушкар,Федір,Володимирович,Чоловіча,12.10.1940,Футболіст,село Самбір,"площа Чорноморка, буд. 578, Новогродівка, 96054",186-97-07,alevtynmalyshko@example.net
Хмара,Устим,Едуардович,Чоловіча,12.04.1941,Ріелтор,хутір Скадовськ,"узвіз Добровольського, буд. 42 кв. 0, Бахчисарай, 73755",522-12-63,venedyktromanets@example.org
Євтушок,Володимир,Дмитрович,Чоловіча,13.12.1986,Пекар,село Бобровиця,"проспект Рибальська балка, буд. 947, Чорнобиль, 04996",043 647-48-22,ptymchenko@example.com
Данькевич,Арсен,Олесьович,Чоловіча,09.10.2005,Дизайнер,місто Тростянець,"провулок Західний 1-й, буд. 0 кв. 08, Географія Вільнянська, 17627",070 352-66-55,orestfilipenko@example.org
Луценко,Антон,Йосипович,Чоловіча,31.07.1957,Архітектор,село Новоукраїнка,"проспект Троїцька, буд. 15 кв. 51, Луганськ, 94310",+380 98 838 28 08,marusia98@example.org
Вертипорох,Ярослав,Йосипович,Чоловіча,30.06.1994,Соціолог,селище Новий Розділ,"площа Парусна, буд. 378 кв. 364, Бердянськ, 38951",200-06-76,bohuslavagzhytskyi@example.com
Корсун,Олег,Миронович,Чоловіча,08.08.2003,Реабілітолог,місто Самбір,"шосе Новікова 2-га, буд. 829, Рогатин, 93983",+380 76 720 05 00,wnosachenko@example.org
Дубас,Олекса,Русланович,Чоловіча,18.06.1991,Менеджер,село Глиняни,"вулиця Косвена, буд. 0, Мала Виска, 37980",+380 (87) 392-98-33,artymovychivan@example.org
Царенко,Зиновій,Зиновійович,Чоловіча,14.04.2007,Фізик,село Старокостянтинів,"провулок Миколаївський 1-й, буд. 539, Бучач, 77753",359 67 18,demian67@example.org
Шморгун,Теодор,Леопольдович,Чоловіча,05.10.1952,Перекладач,селище Володимир-Волинський,"проспект Лиманний, буд. 85 кв. 972, Долинська, 31014",+380 55 929 74 92,orestbabko@example.net
Саєнко,Дан,Володимирович,Чоловіча,02.03.1983,Астроном,місто Алушта,"проспект Новощіпний ряд, буд. 8 кв. 3, Кам'янка-Дніпровська, 92120",130 91 52,zaporozhetslukian@example.org
Оліфіренко,Миколай,Богодарович,Чоловіча,16.08.1958,Модель,місто Довжанськ,"вулиця Мукачівський, буд. 9 кв. 27, Вугледар, 46246",035 258 66 51,nestaikozakhar@example.net
Носаченко,Леонід,Аркадійович,Чоловіча,13.06.1942,Драматург,село Немирів,"провулок Романтичний, буд. 841, Новий Розділ, 10883",053 651 09 99,karpahanna@example.net
Ковалюк,Климент,Ростиславович,Чоловіча,20.09.2006,Письменник,хутір Алушта,"парк Тираспольська, буд. 51 кв. 50, Чуднів, 26691",550-51-03,kozakvarvara@example.org
Рак,Остап,Олександрович,Чоловіча,03.11.1941,Ріелтор,село Привілля,"парк Станційна 3-тя, буд. 1 кв. 1, Івано-Франківськ, 04080",+380 40 048-04-11,andriishyndan@example.com
Самойленко,Єлисей,Семенович,Чоловіча,04.12.1955,Провізор,хутір Попасна,"парк Шишкіна 2-й, буд. 463, Мала Виска, 70974",072-13-30,irynadrobakha@example.com
Дрозд,Тарас,Павлович,Чоловіча,24.07.2006,Дантист,село Ковель,"парк Колонтаївська, буд. 7, Лохвиця, 24510",432-33-75,danna46@example.net
Примаченко,Орхип,Арсенович,Чоловіча,07.02.1998,Геолог,хутір П'ятихатки,"узвіз Овідіопольський, буд. 848, Хирів, 39105",898-42-29,cherinkospas@example.com
Дейнека,Артем,Ярославович,Чоловіча,07.04.1998,Історик,місто Покров,"шосе Литовська, буд. 2, Полонне, 94638",+380 90 326-19-99,azar02@example.com
Гаврилів,Тимофій,Трохимович,Чоловіча,16.08.1992,Мистецтвознавець,селище Долинська,"вулиця Парковий, буд. 321, Дружківка, 48508",493 57 33,irena97@example.org
Артимишин,Альберт,Максимович,Чоловіча,31.05.1957,Психолог,село Камінь-Каширський,"набережна Гетьманський, буд. 96, Ківерці, 76465",941 21 94,dzhuniaroslav@example.com
Дацюк,Тимофій,Яремович,Чоловіча,25.07.1999,Кінорежисер,селище Єнакієве,"парк Марії Демченко 2-й, буд. 954, Коростишів, 80207",+380 66 646 98 61,boryslavreva@example.net
Гук,Олекса,Несторович,Чоловіча,18.04.2002,Антрополог,місто Щолкіне,"узвіз Прорізний, буд. 13, Тростянець, 97068",843-18-85,vashchuklukian@example.org
Цимбалюк,Роман,Валентинович,Чоловіча,06.07.1957,Фотограф,село Новоград-Волинський,"сквер Калнишевського Петра, буд. 89 кв. 723, Роздільна, 95487",+380 54 598 26 38,ukolisnychenko@example.com
Данченко,Валентин,Гордійович,Чоловіча,14.03.1986,Клоун,хутір Березань ,"вулиця Гаванна, буд. 286 кв. 445, Донецьк, 10672",+380 33 478-08-73,lytvynenkookhrim@example.org
Ткаченко,Леонтій,Алевтинович,Чоловіча,17.04.2004,Сценарист,село Алчевськ,"площа Людмили Гінзбург, буд. 93, Луцьк, 12540",+380 (46) 644-08-46,mykolai09@example.com
Гузенко,Лукʼян,Борисович,Чоловіча,13.12.1948,Акушер,село Ромни,"набережна Каховський, буд. 293, Тисмениця, 26018",+380 (93) 753-94-23,ada26@example.net
Кальченко,Августин,Азарович,Чоловіча,24.11.1968,Педагог,село Кам'янка-Дніпровська,"шосе Іванова 2-й, буд. 10 кв. 521, Ватутіне, 32988",+380 79 208-31-85,ruslanzaichenko@example.com
Іващенко,Святослав,Єфремович,Чоловіча,01.09.1957,Ґрунтознавець,місто Фастів,"узвіз Солонцюватий 1-й, буд. 5, Шпола, 86736",+380 19 701 99 01,lukashvitalii@example.net
Акуленко,Макар,Азарович,Чоловіча,12.06.2003,Епідеміолог,село Пустомити,"провулок Газова, буд. 601, Родинське, 16090",990 67 69,qsomko@example.net
Єрченко,Юстим,Вʼячеславович,Чоловіча,23.09.1946,Швачка,селище Коростень,"провулок Польова, буд. 63, Першотравенськ, 04689",+380 81 775-55-90,olupii@example.net
Журба,Феофан,Яремович,Чоловіча,18.05.1982,Ріелтор,село Люботин,"провулок Історія Футболу, буд. 4, Бар, 43417",531 53 72,myronarkhypenko@example.net
Савенко,Леопольд,Прохорович,Чоловіча,08.03.1949,Професор,хутір Вижниця,"сквер Шовкуненка, буд. 006 кв. 942, Кагарлик, 76891",914 76 66,rozaliia34@example.com
Джус,Леопольд,Леонтійович,Чоловіча,10.11.1975,Реставратор,місто Макіївка,"провулок Селекційний, буд. 00 кв. 0, Харцизьк, 68374",+380 73 500-33-17,jlytvynenko@example.org
Фартушняк,Спас,Хомович,Чоловіча,21.03.1983,Математик,місто Миргород,"проспект Академіка Гаркавого, буд. 9, Залізне, 02777",427-03-64,iaremahrytsenko@example.com
Іщенко,Франц,Гордійович,Чоловіча,29.10.1950,Локсмайстер,село Тлумач,"вулиця Пересипський міст, буд. 40 кв. 617, Деражня, 12303",+380 94 800-20-06,davyd60@example.org
Єрченко,Олекса,Іванович,Чоловіча,19.02.1964,Науковець,село Буча,"набережна Нова, буд. 9, Новодружеськ, 44452",+380 49 262-35-37,yvashchenko-zakharchenko@example.org
Хомик,Миколай,Віталійович,Чоловіча,02.07.1989,Науковець,хутір Гнівань,"провулок Хлібна гавань, буд. 29, Бориспіль, 25185",+380 40 851 60 43,kanivetsavrelii@example.net
Ярош,Олег,Семенович,Чоловіча,09.05.1962,Доцент,село Помічна,"проспект Нова, буд. 097, Верхівцеве, 19375",+380 11 770 66 05,larysanazarenko@example.net
Петрик,Віталій,Павлович,Чоловіча,08.03.2003,Кіноактор,село Заліщики,"провулок Скидановська, буд. 903, Нова Каховка, 53452",053 747-05-32,bkolesnychenko@example.org
Сич,Амвросій,Августинович,Чоловіча,23.04.1993,Геолог,село Березне,"площа Юрженка Олександра, буд. 21 кв. 1, Володимир-Волинський, 33201",813 62 90,solomonverhun@example.com
Журба,Арсен,Зиновійович,Чоловіча,06.01.1940,Різноробочий,селище Кривий Ріг,"набережна Радіальний, буд. 351, Сімферополь, 07941",006 342 83 97,zakharovcharenko@example.org
Наливайко,Віталій,Глібович,Чоловіча,27.09.1966,Няня,селище Новоград-Волинський,"площа Лавкова, буд. 2, Лубни, 51318",214-32-56,romanchukbohdan@example.com
Савенко,Адам,Мартинович,Чоловіча,14.07.1950,Конструктор,село Заводське,"площа Данила Крижанівського, буд. 9, Корець, 93303",747-29-46,ievhenokhrymovych@example.com
Данилюк,Мирон,Валентинович,Чоловіча,16.01.1986,Прокурор,селище Мар'їнка,"набережна Балтська дорога, буд. 9 кв. 4, Красногорівка, 73850",+380 (95) 757-76-05,nestor00@example.org
Дзюба,Омелян,Вікторович,Чоловіча,10.12.1951,Футболіст,село Макіївка,"набережна Каштанова, буд. 2, Дебальцеве, 61699",096-48-95,ymamchur@example.net
Андріїшин,Франц,Олегович,Чоловіча,06.01.2000,Електрослюсар,місто Болград,"вулиця Йосипа Тимченка, буд. 139 кв. 931, Горохів, 39472",+380 65 232-17-51,viacheslav54@example.net
Карпа,Пантелеймон,Азарович,Чоловіча,28.11.1944,Доцент,селище Білицьке,"площа Проектований 3-й, буд. 792, Моршин, 77281",058 346 70 37,ndemianiuk@example.net
Батіг,Юстим,Охрімович,Чоловіча,05.07.2001,Стиліст,селище Новоселиця,"провулок Шухевича Романа, буд. 5 кв. 068, Коростень, 82685",+380 53 078-46-22,hryhoriivasylashko@example.org
Дуплій,Назар,Леопольдович,Чоловіча,21.02.1979,Літературознавець,місто Могилів-Подільський,"сквер Деревообробний 4-й, буд. 6, Старий Крим, 01787",+380 76 317-50-07,tsymbaliukdan@example.com
Ященко,Дмитро,Микитович,Чоловіча,21.10.1953,Палеонтолог,село Волочиськ,"проспект Архітекторська, буд. 413, Городенка, 69515",078 821 38 96,oaverchenko@example.com
Цимбал,Геннадій,Андрійович,Чоловіча,08.07.1967,Кур'єр,хутір Червоноград,"провулок Троїцького Миколи, буд. 29 кв. 976, Теплодар, 78362",987 50 31,xbashpolchenko@example.com
Андрусенко,Леонтій,Веніяминович,Чоловіча,09.11.1962,Електромонтажник,село Курахове,"узвіз Балтський 1-й, буд. 27 кв. 1, Заліщики, 51671",249 57 71,bbaranets@example.com
Девдюк,Леон,Костянтинович,Чоловіча,02.11.2006,Соціолог,місто Алчевськ,"провулок Десятого квітня, буд. 615 кв. 68, Могилів-Подільський, 16452",014 431-82-67,oleh06@example.com
Забарний,Андрій,Григорійович,Чоловіча,23.09.1950,Астронавт,місто Щолкіне,"узвіз Каспійський, буд. 9, Хмельницький, 33476",+380 44 500-49-72,arkhymovychorysia@example.org
Швачка,Тарас,Георгійович,Чоловіча,28.01.1965,Вчитель,селище Богодухів,"набережна Заньковецької, буд. 997 кв. 65, Бережани, 45375",+380 39 055-88-72,aaronbhydenko@example.com
Єременко,Азар,Симонович,Чоловіча,25.07.1973,Художник,хутір Гірське,"узвіз Приморський, буд. 48 кв. 29, Луцьк, 27520",+380 26 882 22 87,orest78@example.org
Шелест,Демид,Юстимович,Чоловіча,07.03.1954,Кіноактор,місто Ізмаїл,"узвіз Волзький, буд. 225, Березне, 82978",093 068-81-45,leontii83@example.net
Остапчук,Владислав,Тимофійович,Чоловіча,17.01.1954,Кінорежисер,місто Курахове,"проспект Рівний, буд. 887, Теплодар, 05342",+380 09 184-51-60,iaroslavkopytko@example.com
Семенченко,Пантелеймон,Леопольдович,Чоловіча,25.02.1964,Диригент,місто Немирів,"шосе Мічуріна, буд. 6, Устилуг, 05575",453 28 27,ielyseizatovkaniuk@example.org
Малишко,Михайло,Зиновійович,Чоловіча,10.12.1948,Мінералог,хутір Бахмут,"набережна Джерельна, буд. 99, Валки , 58622",+380 93 296-05-50,eromanenko@example.net
Чайка,Олекса,Захарович,Чоловіча,11.08.2000,Дантист,село Славута,"парк Олександра Тимошенка, буд. 7 кв. 0, Овруч, 30944",860 89 09,chalenkotaras@example.com
Верховинець,Симон,Захарович,Чоловіча,22.04.1954,Реставратор,село Дубляни,"набережна Шота Руставелі, буд. 308, Верхньодніпровськ, 12199",+380 50 276-66-61,kashchenkoherman@example.org
Ейбоженко,Святослав,Демʼянович,Чоловіча,12.07.1947,Електрослюсар,хутір Кам'янка-Дніпровська,"площа Могилівська, буд. 4, Кадіївка, 20589",358 94 54,fiakymenko@example.com
Дерегус,Аарон,Зорянович,Чоловіча,20.05.1938,Модель,хутір Зборів,"шосе Спиридонівська, буд. 32 кв. 157, Щастя , 26768",013 892-65-60,alla37@example.org
Якименко,Климент,Мирославович,Чоловіча,15.07.1979,Хореограф,місто Жовква,"провулок Тупиковий, буд. 5 кв. 937, Гайворон, 63523",+380 (46) 051-86-92,cshapoval@example.com
Олійник,Данило,Вадимович,Чоловіча,28.01.1946,Різноробочий,село Мукачево,"проспект Наклонна, буд. 4, Пирятин, 64252",090 072-16-93,iaroslava68@example.org
Авдєєнко,Пантелеймон,Прохорович,Чоловіча,12.09.1948,Програміст,село Новодністровськ,"набережна Лінія 54-та, буд. 11, Берестечко, 08784",+380 72 094 77 32,ceibozhenko@example.net
Власенко,Станіслав,Ростиславович,Чоловіча,09.12.2000,Штукатур,селище Дергачі,"провулок Зоопаркова, буд. 9 кв. 35, Белз, 78605",434 55 65,mariia50@example.com
Нестайко,Григорій,Данилович,Чоловіча,12.06.1989,Круп'є,селище Нове Давидково,"набережна Авіаційна, буд. 5, Мерефа, 46001",+380 80 206-75-66,deriazhnyiopanas@example.net
Єрошенко,Микита,Леонідович,Чоловіча,24.06.1991,Редактор,місто Нововолинськ,"сквер Чорноморка, буд. 689 кв. 11, Жовті Води, 78132",+380 62 779 56 06,dutkazakhar@example.com
Мазур,Данило,Ростиславович,Чоловіча,09.10.1975,Музикознавець,місто Сновськ,"площа Героїв прикордонників, буд. 705, Валки , 40997",053 81 37,ievtushenkodmytro@example.org
Сацюк,Ростислав,Кирилович,Чоловіча,10.11.1959,Петрограф,місто Таврійськ,"площа 7-ма Суворовська, буд. 11 кв. 25, Перевальськ, 81795",042-06-73,ustym85@example.com
Єрмоленко,Василь,Михайлович,Чоловіча,18.10.1961,Кур'єр,село Сєвєродонецьк,"узвіз Сергія Ейзенштейна, буд. 90 кв. 40, Євпаторія, 86972",503 39 18,tkalchenko@example.net
Чаленко,Максим,Захарович,Чоловіча,01.04.1999,Мистецтвознавець,село Новодружеськ,"узвіз Карантинний узвіз, буд. 097, Заводське, 43460",+380 78 811-51-79,ualeksiichuk@example.org
Бараник,Вʼячеслав,Сергійович,Чоловіча,13.01.1997,Фермер,хутір Торецьк,"провулок Стороженка Олега, буд. 2 кв. 380, Любомль, 30828",898 05 94,vadymbaturynets@example.com
Євтушок,Устим,Гордійович,Чоловіча,29.01.1972,Мистецтвознавець,місто Бунге ,"провулок Кедровий, буд. 511, Глобине, 12707",070 856 53 12,onysymavdieienko@example.net
Яременко,Роман,Вадимович,Чоловіча,25.03.1953,Мінералог,місто Сміла,"узвіз Слобідський узвіз, буд. 86, Берегове, 66891",570-35-71,valentynatsushko@example.net
Шинкаренко,Соломон,Опанасович,Чоловіча,20.01.1951,Ветеринар,місто Лутугине,"узвіз Перлинна, буд. 002, Старий Самбір, 29782",+380 42 343 93 31,lesirvanets@example.org
Худобʼяк,Зорян,Адамович,Чоловіча,07.12.1991,Ріелтор,село Кіцмань,"сквер Гаванна, буд. 671, Решетилівка, 16028",742 41 73,atroshchenkomarusia@example.org
Бездітко,Августин,Адамович,Чоловіча,20.02.1974,Стропальник,селище Березань ,"сквер Ціолковського, буд. 268, Ватутіне, 63973",396 13 69,viktorlemeshko@example.net
Сиротенко,Ілля,Юстимович,Чоловіча,10.07.1959,Диригент,селище Конотоп,"вулиця Зарічна, буд. 384 кв. 1, Ківерці, 22452",065 398-04-07,khrystyna55@example.org
Вовк,Августин,Борисович,Чоловіча,23.06.1993,Петрограф,місто Сватове,"вулиця Квітковий, буд. 4 кв. 715, Камінь-Каширський, 92025",+380 (79) 486-19-75,demyd10@example.net
Бездітко,Мартин,Григорійович,Чоловіча,25.12.1985,Програміст,місто Кременець,"набережна Молодіжна, буд. 2, Подільськ, 15288",494-77-42,ovlokh@example.org
Слюсар,Яків,Юхимович,Чоловіча,18.02.1999,Круп'є,селище Миргород,"сквер Морехідний, буд. 6 кв. 21, Сквира, 34058",+380 30 984 75 71,malyshkovolodymyra@example.org
Зінчук,Миколай,Владиславович,Чоловіча,05.05.1986,Ветеринар,селище П'ятихатки,"провулок Ключовий 2-й, буд. 888 кв. 6, Городок, 35626",+380 12 489-33-06,myroslavprytula@example.com
Дрозд,Альберт,Костянтинович,Чоловіча,17.01.1974,Клоун,хутір Білгород-Дністровський,"провулок Яружний, буд. 5, Кременець, 80289",002 867 91 96,oksanaazhazha@example.com
Гриценко,Іван,Макарович,Чоловіча,17.12.2004,Детектив,селище Хмільник,"вулиця Глазунова 1-й, буд. 32, Буськ, 41225",+380 11 984 29 70,amvrosiiprymachenko@example.org
Макаренко,Олександр,Панасович,Чоловіча,12.07.1994,Геофізик,селище Копичинці,"провулок Західний 2-й, буд. 529, Боково-Хрустальне, 08974",+380 72 120 15 08,halynaandriichuk@example.org
Юрчук,Аарон,Ростиславович,Чоловіча,26.08.2004,Реабілітолог,селище Городня,"набережна Академіка Векслера, буд. 457, Саки , 85953",352 00 77,avreliivermenych@example.net
Салій,Марко,Степанович,Чоловіча,07.01.2003,Стоматолог,село Сватове,"проспект Садовий, буд. 57, Охтирка, 38644",+380 07 524 30 31,erikazhadan@example.com
Верховинець,Олесь,Климентович,Чоловіча,16.05.1960,Астрофізик,місто Олевськ,"парк Левадна, буд. 091 кв. 8, Василівка , 71803",+380 05 920 18 78,feofanholoborodko@example.net
Башполченко,Олександр,Остапович,Чоловіча,01.07.1993,Патологоанатом,село Інкерман,"парк Полуничний, буд. 24, Корець, 81231",+380 86 235 75 38,viacheslav84@example.net
Полтавець,Опанас,Макарович,Чоловіча,15.05.1954,Модель,хутір Борзна,"провулок Композитора Глинки, буд. 8, Чигирин, 47423",023 943-28-29,milena08@example.org
Примаченко,Костянтин,Геннадійович,Чоловіча,17.02.1950,Фармацевт,селище Ланівці,"шосе Молодіжна, буд. 275 кв. 135, Боярка, 24000",+380 (52) 557-29-93,olha12@example.org
